mass,ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuelflow,fid
63330.096236479076,234.356,-45884.7930215969,42951.20820747598,3483.012400715389,52.088116518660094,5.21549879844399,11427.0,0.645173,409.66,3000.0,131.9229,1.6927258130162346,EZS39RG_1538
63251.54023742588,281.2272,-38586.59745679521,36397.63800848734,4197.329449076303,52.029737764882704,5.323056451906529,13771.0,0.67279,423.4441,3000.0,131.9239,1.671610749309215,EZS39RG_1538
63174.001522870974,328.0984,-31042.274975524197,29622.825767948103,4911.646497436985,51.9692855304039,5.433946401861356,16114.0,0.701874,437.8001,3000.0,131.9143,1.6500675789499897,EZS39RG_1538
63097.500062140454,374.9696,-23240.413083087944,22619.090740606134,5625.963545797382,51.90668153756823,5.548307148015767,18458.0,0.732503,452.7466,3000.0,131.9181,1.6280601626374223,EZS39RG_1538
63022.0560036236,421.8408,-15172.15409020326,15375.248863519433,6340.280594157416,51.841815036522235,5.666237714845415,20801.0,0.764759,468.3014,3000.0,131.9155,1.6056067861375993,EZS39RG_1538
62947.689555895326,468.712,-6825.915649856141,7882.524585529668,7054.597642516977,51.77459618832348,5.787874010982021,23145.0,0.798726,484.4811,3000.0,131.9356,1.5826665575957073,EZS39RG_1538
62874.32879846025,515.5832,1806.3142453695114,127.58154840595269,7768.914690876001,51.70489313446216,5.913297312229,25489.0,0.82,492.5967,3000.0,131.9621,1.5525831327330584,EZS39RG_1538
62801.94075286851,562.4544,10579.19593787274,-7761.0650695228815,8483.231739234494,51.63385174276275,6.040368022922186,27832.0,0.82,487.761,2930.0,131.9908,1.5032430682979616,EZS39RG_1538
62731.64481063519,609.3256,19262.637345388597,-15577.152747335773,9180.89876819213,51.56332926449023,6.165751065204491,30121.0,0.817818,481.7062,2368.0,132.032,1.3650482368149182,EZS39RG_1538
62667.56236199587,656.1968,27845.195566665952,-23313.60527614656,9744.64219634755,51.493394781114674,6.289294625684649,31971.0,0.812642,474.8032,1805.0,132.059,1.2215791248667278,EZS39RG_1538
62610.05827873751,703.068,36312.90698552243,-30953.777446595224,10174.462023698568,51.42420418350374,6.410813010350132,33381.0,0.806731,468.4117,1243.0,132.0991,1.0742248878146345,EZS39RG_1538
62559.39067690909,749.9392,44672.32542653458,-38506.860819033776,10470.35825024485,51.3556800997109,6.530415261544333,34352.0,0.799733,462.3328,680.0,132.123,0.9223736379796913,EZS39RG_1538
62515.82413660144,796.8103,52930.28993422923,-45974.52638705128,10632.330875987003,51.28781226149561,6.648213952326449,34883.0,0.790907,456.1352,118.0,132.165,0.7661276495912795,EZS39RG_1538
62479.62578251949,843.6815,61081.24797345402,-53356.29270350059,10660.379900927772,51.220610590997154,6.764143129825364,34975.0,0.788739,454.6959,-0.0,132.1842,0.7320775473892223,EZS39RG_1538
62445.03065892824,890.5527,69205.7887511339,-60719.09090201093,10660.379900465121,51.15346853256068,6.879359015950988,34975.0,0.788715,454.6818,-0.0,132.1992,0.7318096593599863,EZS39RG_1538
62410.449171389395,937.4239,77328.1515967971,-68083.78376646132,10660.379900001984,51.08619690032655,6.994208257142054,34975.0,0.78869,454.6677,-0.0,132.2141,0.7315419682716472,EZS39RG_1538
67632.56778050822,0.0,92366.20532697007,-38687.628053177614,30.480000303796288,52.33140182586679,4.7400298104157415,100.0,0.3,198.3755,2500.0,294.4285,1.910926380865016,EZY84JU_960
67545.27070411143,45.6039,88175.24414417929,-36784.010003640884,609.6492206365646,52.34921217777666,4.678866786916926,2000.0,0.442892,290.9425,3000.0,293.3904,1.82101443796473,EZY84JU_960
67462.4393565773,91.2078,81967.79113922092,-34099.036329015784,1304.6522850518973,52.37432389751987,4.588151375127969,4280.0,0.569233,370.9534,3000.0,293.3799,1.7923704438114048,EZY84JU_960
67381.29752812565,136.8116,74037.34257060793,-30670.51999785304,1999.6553494674483,52.40628919972254,4.472105863009826,6561.0,0.592181,382.7785,3000.0,293.3647,1.7734398574446109,EZY84JU_960
67301.04475802132,182.4155,65852.11244740378,-27134.436315907664,2694.658413882858,52.439138936743646,4.352155474551239,8841.0,0.616304,395.0879,3000.0,293.3531,1.754077424366111,EZY84JU_960
67221.70108132949,228.0194,57401.95047203625,-23485.941160532406,3389.6614782980964,52.47290608281695,4.22813487615464,11121.0,0.641668,407.8999,3000.0,293.3491,1.7342738001446163,EZY84JU_960
67143.28633605537,273.6233,48676.609036284295,-19719.353599668197,4084.664542713133,52.50763008700278,4.0998759659422195,13401.0,0.668338,421.2326,3000.0,293.3159,1.7140286201212642,EZY84JU_960
67065.82022260627,319.2271,39663.00068354155,-15834.52284474925,4779.667607127923,52.54329974988116,3.9671663660922496,15681.0,0.696386,435.1038,3000.0,293.3529,1.6933398634046721,EZY84JU_960
66989.32236029615,364.831,30354.434362980777,-11815.436151392805,5474.670671542404,52.58004477470615,3.8298886061008233,17962.0,0.725882,449.5307,3000.0,293.3349,1.6721905210303285,EZY84JU_960
66913.81233646828,410.4349,20735.268602014334,-7665.826421240894,6169.673735956481,52.61781662631159,3.6877886214005238,20242.0,0.756902,464.5301,3000.0,293.3493,1.6506021627130139,EZY84JU_960
66839.30973872193,456.0388,10795.664834693309,-3375.020233035302,6864.676800370021,52.65669449143592,3.5406978120867976,22522.0,0.789523,480.1174,3000.0,293.3307,1.6285558207254338,EZY84JU_960
